patient	[0.019387686742145107, 0.004750593824228029, 0.002889664164640378, 0.007168676528659519, 0.03029261331083263]
72	[0.00022777517250619682, 0.0005214066392445398, 0.0001057194206575748, 0.00033413322803074025, 0.00010416992197672844]
yearold	[0.0008709050713472231, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 9.375292977905559e-05]
female	[0.0016748174448985062, 0.00011586814205434216, 3.5239806885858265e-05, 0.0014580359041341394, 0.00011458691417440129]
complaining	[0.00054934012192671, 5.793407102717108e-05, 3.5239806885858265e-05, 9.112724400838371e-05, 5.208496098836422e-05]
chest	[0.005841763247805989, 0.007010022594287701, 0.000528597103287874, 0.004890495428449926, 0.0030417617217204703]
tightness	[0.0002947678703021371, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 2.083398439534569e-05]
lasting	[0.00012058685603269243, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 3.125097659301853e-05]
approximately	[0.0015274335097474375, 0.00011586814205434216, 0.0001057194206575748, 0.00042526047203912394, 0.0005521005864766608]
30	[0.0009780933878207275, 0.0016221539887607901, 0.0041935370194171335, 0.00024300598402235654, 0.0006666875006510621]
minutes	[0.0008977021504655993, 0.00023173628410868432, 0.00035239806885858265, 0.00015187874001397285, 0.00036459472691854954]
after	[0.0028538889261070545, 0.0002896703551358554, 0.0003876378757444409, 0.00021263023601956197, 0.003198016604685563]
climbing	[9.378977691431633e-05, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 1.0416992197672845e-05]
stairs	[0.0002545722516245729, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 5.208496098836422e-05]
home	[0.0018623969987271386, 0.0005214066392445398, 0.0009162349790323149, 6.0751496005589135e-05, 0.0023021552756856984]
she	[0.022094191733101093, 0.0037657146167661202, 0.0021848680269232123, 0.007472434008687464, 0.016573434586497494]
reports	[0.0011254773229717962, 5.793407102717108e-05, 0.00014095922754343306, 9.112724400838371e-05, 4.166796879069138e-05]
having	[0.001138875862530984, 5.793407102717108e-05, 7.047961377171653e-05, 9.112724400838371e-05, 0.00034376074252320387]
increasing	[0.001393448114155557, 0.00011586814205434216, 7.047961377171653e-05, 6.0751496005589135e-05, 0.0002395908205464754]
shortness	[0.0029476787030213707, 0.00011586814205434216, 0.00045811748951615745, 6.0751496005589135e-05, 0.0006875214850464077]
breath	[0.003215649494205132, 0.00017380221308151324, 0.00045811748951615745, 0.0018225448801676741, 0.0008541933602091732]
over	[0.0018355999196087627, 0.00034760442616302647, 0.00017619903442929133, 0.0014580359041341394, 0.0013542089856974698]
preceding	[0.00013398539559188047, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 1.0416992197672845e-05]
week	[0.0014604408119514973, 0.00017380221308151324, 0.0008457553652605984, 9.112724400838371e-05, 0.000531266602081315]
denies	[0.003282642192001072, 5.793407102717108e-05, 0.0004228776826302992, 0.00012150299201117827, 4.166796879069138e-05]
diaphoresis	[0.0007369196757553427, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 5.208496098836422e-05]
palpitations	[0.0006029342801634622, 5.793407102717108e-05, 0.0001057194206575748, 6.0751496005589135e-05, 3.125097659301853e-05]
or	[0.0058953574060427415, 0.0025490991251955275, 0.0019381893787222045, 0.012788189909176514, 0.002948008791941415]
works	[0.00024117371206538486, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 1.0416992197672845e-05]
lives	[0.0015944262075433778, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 4.166796879069138e-05]
his	[0.010129295906746164, 0.004924396037309542, 0.0016562709236353384, 0.007320555268673491, 0.015812994156067378]
negative	[0.002492128358008977, 0.0045767916111465155, 3.5239806885858265e-05, 0.0022478053522067983, 0.0027709199245809766]
positive	[0.001661418905339318, 0.0009269451364347373, 0.00017619903442929133, 0.0031287020442878405, 0.0011667031261393586]
occasional	[0.0005761372010450861, 0.00011586814205434216, 3.5239806885858265e-05, 0.00033413322803074025, 0.00012500390637207412]
alcohol	[0.0015006364306290613, 0.00011586814205434216, 0.00014095922754343306, 3.0375748002794568e-05, 0.00011458691417440129]
use	[0.0014470422723923092, 5.793407102717108e-05, 0.0002114388413151496, 0.00021263023601956197, 0.00040626269570924093]
but	[0.0038453808534869697, 0.0018538902728694746, 0.00014095922754343306, 0.003493211020321375, 0.0030209277373251246]
iv	[0.0012728612581228646, 0.00017380221308151324, 0.0011276738203474645, 0.00018225448801676743, 0.0016875527360230007]
drug	[0.0005359415823675219, 5.793407102717108e-05, 0.00017619903442929133, 9.112724400838371e-05, 0.00013542089856974696]
admission	[0.00391237355128291, 0.004866461966282371, 0.0008457553652605984, 0.0017921691321648797, 0.004208464847859829]
enteric	[2.6797079118376097e-05, 5.793407102717108e-05, 0.0008457553652605984, 6.0751496005589135e-05, 7.291894538370991e-05]
coated	[1.3398539559188049e-05, 5.793407102717108e-05, 0.0009514747859181732, 3.0375748002794568e-05, 4.166796879069138e-05]
aspirin	[0.0005359415823675219, 5.793407102717108e-05, 0.007541318673573669, 3.0375748002794568e-05, 0.0009062783211975374]
325	[5.3594158236752195e-05, 0.00011586814205434216, 0.0046164147020474324, 3.0375748002794568e-05, 0.00012500390637207412]
mg	[0.001902592617404703, 0.00040553849719019753, 0.08496317440180427, 0.00012150299201117827, 0.003916789066324989]
po	[0.0007101225966369666, 0.00017380221308151324, 0.06343165239454487, 6.0751496005589135e-05, 0.002687583986999594]
qd	[0.00022777517250619682, 5.793407102717108e-05, 0.019875251083624063, 3.0375748002794568e-05, 0.0005000156254882965]
lasix	[0.0006029342801634622, 5.793407102717108e-05, 0.005109771998449449, 9.112724400838371e-05, 0.001322958009104451]
40	[0.0007503182153145307, 0.0012166154915705927, 0.007329879832258519, 0.00015187874001397285, 0.0005729345708720064]
sl	[0.00017418101426944463, 0.00017380221308151324, 0.0002114388413151496, 0.00012150299201117827, 1.0416992197672845e-05]
nitroglycerin	[0.0007637167548737188, 5.793407102717108e-05, 0.0012686330478908975, 6.0751496005589135e-05, 0.0002708417971394939]
prn	[0.00018757955382863267, 5.793407102717108e-05, 0.012333932410050394, 3.0375748002794568e-05, 0.0003958457035115681]
imdur	[1.3398539559188049e-05, 5.793407102717108e-05, 0.0008457553652605984, 3.0375748002794568e-05, 5.208496098836422e-05]
60	[0.0005761372010450861, 0.00046347256821736865, 0.0023258272544666456, 0.0003948847240363294, 0.0005000156254882965]
lisinopril	[0.00012058685603269243, 5.793407102717108e-05, 0.003594460302357543, 3.0375748002794568e-05, 0.00022917382834880258]
20	[0.0009780933878207275, 0.001448351775679277, 0.010677661486415054, 0.0017921691321648797, 0.0009583632821859017]
naprosyn	[2.6797079118376097e-05, 5.793407102717108e-05, 0.0003171582619727244, 3.0375748002794568e-05, 1.0416992197672845e-05]
500	[0.00017418101426944463, 0.00011586814205434216, 0.003594460302357543, 3.0375748002794568e-05, 0.0002708417971394939]
bid	[0.00020097809338782074, 0.00011586814205434216, 0.022201078338090707, 3.0375748002794568e-05, 0.0010416992197672843]
digoxin	[0.00013398539559188047, 0.0005793407102717108, 0.0016210311167494803, 6.0751496005589135e-05, 0.00029167578153483964]
025	[1.3398539559188049e-05, 5.793407102717108e-05, 0.001057194206575748, 3.0375748002794568e-05, 2.083398439534569e-05]
significant	[0.0017552086822536343, 0.0022594287700596722, 0.00014095922754343306, 0.0006986422040642751, 0.001270873048116087]
father	[0.0006833255175185905, 5.793407102717108e-05, 7.047961377171653e-05, 3.0375748002794568e-05, 1.0416992197672845e-05]
who	[0.005654183693977357, 0.00023173628410868432, 7.047961377171653e-05, 0.0006075149600558914, 0.000937529297790556]
had	[0.013076974609767535, 0.003997450900874804, 0.000528597103287874, 0.005558761884511406, 0.009969061533172912]
stroke	[0.0004421518054532056, 5.793407102717108e-05, 3.5239806885858265e-05, 6.0751496005589135e-05, 0.0002708417971394939]
also	[0.004662691766597441, 0.002085626556978159, 0.0008457553652605984, 0.0010327754320950152, 0.0046876464889527795]
suffered	[0.00022777517250619682, 5.793407102717108e-05, 3.5239806885858265e-05, 3.0375748002794568e-05, 0.00013542089856974696]
from	[0.0037783881556910297, 0.0037657146167661202, 0.0006695563308313071, 0.0012454056681145773, 0.004635561527964416]
hypertension	[0.004247337040262611, 0.00023173628410868432, 0.0001057194206575748, 9.112724400838371e-05, 0.0009166953133952103]
family	[0.0015542305888658137, 0.00011586814205434216, 0.00017619903442929133, 0.00015187874001397285, 0.0008437763680115004]
history	[2.011495946941783346, 0.00017380221308151324, 0.00017619903442929133, 0.00036450897603353485, 0.0021042324239299143]
diabetes	[0.0044751122127688085, 5.793407102717108e-05, 0.0002114388413151496, 0.00012150299201117827, 0.0008437763680115004]
mellitus	[0.0017150130635760702, 5.793407102717108e-05, 7.047961377171653e-05, 6.0751496005589135e-05, 0.0002395908205464754]
